id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap
1,1,0,0,0,0,0,0,SWING,1.03,1.03,1.03,2401.777119828844,1000000,0.95,1.05,0.0,0.0,abc,0.0,0.0,0.0
2,125,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
3,69,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
4,70,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
5,71,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
6,72,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
7,73,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
8,74,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
9,75,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
10,76,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
11,77,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
12,78,0.105,0.08,0.07,0.05,0.07,0.05,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
13,79,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
14,80,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
15,81,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
16,82,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
17,83,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
18,84,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
19,85,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
20,86,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
21,87,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
22,88,0.0,0.0,0.02,0.01,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
23,89,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
24,90,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
25,91,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
26,92,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
