id,name,bus,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
3,3,3,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
9,54,54,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
10,55,55,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
15,60,60,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
20,64,64,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
21,65,65,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
22,66,66,0.0,0.03375,0.0,0.0,0.0,0.0,0.0,0.03375,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
23,67,67,0.01575,0.01575,0.0315,0.0,0.0,0.0,0.01575,0.01575,0.0315,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
24,68,68,0.0,0.0,0.03375,0.0,0.0,0.0,0.0,0.0,0.03375,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
46,108,108,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.036,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
49,71,71,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
51,73,73,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
53,75,75,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
54,76,76,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
55,77,77,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
56,78,78,0.04725,0.0315,0.0315,0.0,0.0,0.0,0.04725,0.0315,0.0315,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
57,79,79,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
59,81,81,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
60,82,82,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
62,84,84,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
79,24,24,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
84,35,35,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
87,30,30,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
88,31,31,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
