fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases,s_a,s_b,s_c
1,2,8.68055e-08,0.0,0.0,8.68055e-08,0.0,8.68055e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch,CLOSED,1000000,2401.7771198288438,5.768533333333334,abc,0,0,0
2,3,0.006024306,0.002048611,0.002013889,0.006128472,0.002083333,0.006076389,0.014184027,0.006597222,0.005069444,0.013784723,0.005572917,0.014010416,overhead_line,oh_line_117_54,,1000000,2401.77712,5.768533333,abc,0,0,0
3,4,0.003003472,0.001024305,0.001006945,0.003072917,0.001041667,0.003038194,0.007083333,0.003298612,0.002534723,0.006892361,0.002777778,0.006996528,overhead_line,oh_line_54_55,,1000000,2401.77712,5.768533333,abc,0,0,0
4,5,0.001875,0.000642361,0.000625,0.001909722,0.000642361,0.001892361,0.004427083,0.002065972,0.001579861,0.004305555,0.001736111,0.004375,overhead_line,oh_line_55_56,,1000000,2401.77712,5.768533333,abc,0,0,0
5,6,0.004131944,0.00140625,0.001388889,0.00421875,0.001423611,0.004166667,0.009739584,0.00453125,0.003472222,0.009479166,0.003836806,0.009635417,overhead_line,oh_line_56_57,,1000000,2401.77712,5.768533333,abc,0,0,0
6,7,0.004131944,0.00140625,0.001388889,0.00421875,0.001423611,0.004166667,0.009739584,0.00453125,0.003472222,0.009479166,0.003836806,0.009635417,overhead_line,oh_line_57_58,,1000000,2401.77712,5.768533333,abc,0,0,0
5,8,0.0053125,0.001770834,0.001822917,0.005260417,0.001788194,0.005364584,0.012256945,0.004427083,0.004878473,0.012413195,0.00578125,0.012065972,overhead_line,oh_line_56_59,,1000000,2401.77712,5.768533333,abc,0,0,0
8,9,0.0,0.0,0.0,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,0.0,0.0,overhead_line,oh_line_59_60,,1000000,2401.77712,5.768533333,b,0,0,0
9,10,0.0,0.0,0.0,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,0.0,0.0,overhead_line,oh_line_60_61,,1000000,2401.77712,5.768533333,b,0,0,0
8,11,0.011388888,0.003784723,0.003888889,0.011284722,0.003854166,0.011510416,0.026267361,0.009496528,0.010451389,0.026579861,0.012378472,0.025850695,overhead_line,oh_line_59_62,,1000000,2401.77712,5.768533333,abc,0,0,0
11,12,0.0084375,0.002829861,0.002864584,0.00828125,0.002777778,0.008350694,0.018958333,0.009079861,0.00765625,0.019496528,0.006961806,0.019253472,overhead_line,oh_line_62_63,,1000000,2401.77712,5.768533333,abc,0,0,0
12,13,0.002204861,0.0,0.0,0.002204861,0.0,0.002204861,0.004722223,0.0,0.0,0.004722223,0.0,0.004722223,overhead_line,oh_line_63_122,,1000000,2401.77712,5.768533333,abc,0,0,0
11,14,0.0125,0.004270834,0.004045139,0.012604166,0.004270834,0.0125,0.006180556,0.002274305,0.001770834,0.005885416,0.002274305,0.006180556,overhead_line,oh_line_62_64,,1000000,2401.77712,5.768533333,abc,0,0,0
14,15,0.00875,0.002986111,0.002829861,0.008819445,0.002986111,0.00875,0.004322917,0.001597222,0.001232638,0.004114584,0.001597222,0.004322917,overhead_line,oh_line_64_65,,1000000,2401.77712,5.768533333,abc,0,0,0
15,16,0.0175,0.005989583,0.005659722,0.017638889,0.005989583,0.0175,0.008663194,0.003194445,0.002482639,0.008246528,0.003194445,0.008663194,overhead_line,oh_line_65_66,,1000000,2401.77712,5.768533333,abc,0,0,0
16,17,0.02125,0.007256944,0.006875,0.021423611,0.007256944,0.02125,0.010503473,0.003871528,0.003020834,0.01,0.003871528,0.010503473,overhead_line,oh_line_66_67,,1000000,2401.77712,5.768533333,abc,0,0,0
17,18,0.01625,0.005555555,0.005260417,0.016388889,0.005555555,0.01625,0.008038195,0.00296875,0.002309028,0.00765625,0.00296875,0.008038195,overhead_line,oh_line_67_68,,1000000,2401.77712,5.768533333,abc,0,0,0
11,19,8.68055e-08,0.0,0.0,8.68055e-08,0.0,8.68055e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch,CLOSED,1000000,2401.7771198288438,5.768533333333334,abc,0,0,0
