id,name,bus,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
9,l2801909,l2801909,0.0,0.0,0.001628,0.0,0.0,0.0,0.0,0.0,0.001628,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
14,l2823592,l2823592,0.000708,0.0,0.0,0.0,0.0,0.0,0.000708,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
21,l3160863,l3160863,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
22,l2730108,l2730108,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
23,l2786204,l2786204,0.0,0.0,0.006104,0.0,0.0,0.0,0.0,0.0,0.006104,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
25,l2936216,l2936216,0.0,0.0,0.001628,0.0,0.0,0.0,0.0,0.0,0.001628,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
28,l2992556,l2992556,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
32,l3253570,l3253570,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
33,l2937757,l2937757,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
34,l3067448,l3067448,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
35,l2763407,l2763407,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
36,l2861157,l2861157,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
39,l2806553,l2806553,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
41,l3254873,l3254873,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
45,l3179637,l3179637,0.0,0.0,0.006104,0.0,0.0,0.0,0.0,0.0,0.006104,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
48,l3048890,l3048890,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
50,l3048889,l3048889,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
52,l2952007,l2952007,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
53,l2861158,l2861158,0.0,0.0,0.004068,0.0,0.0,0.0,0.0,0.0,0.004068,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
54,l3064514,l3064514,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
55,l3048888,l3048888,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
58,l2764411,l2764411,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
59,l2767343,l2767343,0.0,0.0,0.006104,0.0,0.0,0.0,0.0,0.0,0.006104,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
60,l2804957,l2804957,0.0,0.0,0.001628,0.0,0.0,0.0,0.0,0.0,0.001628,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
61,l3048937,l3048937,0.0,0.0,0.00244,0.0,0.0,0.0,0.0,0.0,0.00244,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
