id,name,Pb_max_a,hmax_a,bmin_a,bmax_a,nc_a,nd_a,Pb_max_b,hmax_b,bmin_b,bmax_b,nc_b,nd_b,Pb_max_c,hmax_c,bmin_c,bmax_c,nc_c,nd_c,phases
9,l2801909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016279999999999999,0.0016279999999999999,0.0009767999999999999,0.0030931999999999995,0.95,0.95,c
14,l2823592,0.000708,0.000708,0.00042479999999999997,0.0013452,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
21,l3160863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244,0.00244,0.001464,0.004636,0.95,0.95,c
22,l2730108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244,0.00244,0.001464,0.004636,0.95,0.95,c
23,l2786204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006104,0.006104,0.0036623999999999997,0.0115976,0.95,0.95,c
25,l2936216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016279999999999999,0.0016279999999999999,0.0009767999999999999,0.0030931999999999995,0.95,0.95,c
28,l2992556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244,0.00244,0.001464,0.004636,0.95,0.95,c
32,l3253570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068,0.004068,0.0024408,0.007729199999999999,0.95,0.95,c
33,l2937757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068,0.004068,0.0024408,0.007729199999999999,0.95,0.95,c
34,l3067448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068,0.004068,0.0024408,0.007729199999999999,0.95,0.95,c
