fb,tb,from_name,to_name,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,sourcebus,hvmv_sub_hsb,0.0,0.0,0.0,0.0,0.0,0.0,0.0033568937543126745,0.0,0.0,0.0033568937543126745,0.0,0.0033568937543126745,reactor,hvmv_sub_hsb,,1000000.0,66395.28095680696,4408.333333333334,abc
2,3,hvmv_sub_hsb,regxfmr_hvmv_sub_lsb,0.0014662254545454545,0.0,0.0,0.0014662254545454545,0.0,0.0014662254545454545,0.01692,0.0,0.0,0.01692,0.0,0.01692,transformer,hvmv_sub,,1000000.0,7199.557856794634,51.833633333333346,abc
3,4,regxfmr_hvmv_sub_lsb,_hvmv_sub_lsb,3.636810286803952e-07,0.0,0.0,3.636810286803952e-07,0.0,3.636810286803952e-07,3.636810286803952e-05,0.0,0.0,3.636810286803952e-05,0.0,3.636810286803952e-05,transformer,feeder_rega,,1000000.0,7199.557856794634,51.833633333333346,abc
4,5,_hvmv_sub_lsb,hvmv_sub_48332,1.9292492840877443e-08,0.0,0.0,1.9292492840877443e-08,0.0,1.9292492840877443e-08,1.9292492840877444e-07,0.0,0.0,1.9292492840877444e-07,0.0,1.9292492840877444e-07,line,hvmv_sub_connector,,1000000.0,7199.557856794634,51.833633333333346,abc
5,6,hvmv_sub_48332,d5710794-3_int,3.679701909892481e-05,1.5048780908663535e-05,1.5048780908663535e-05,3.679701909892481e-05,1.5048780908663535e-05,3.679701909892481e-05,8.073096004074572e-05,3.550962338996108e-05,3.550962338996108e-05,8.073096004074572e-05,3.550962338996108e-05,8.073096004074572e-05,line,ln5710794-3,,1000000.0,7199.557856794634,51.833633333333346,abc
6,7,d5710794-3_int,e192860,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,switch,a8735_48332_sw,CLOSED,1000000.0,7199.557856794634,51.833633333333346,abc
7,8,e192860,m1209817,3.7094836580367034e-05,1.5170578547133792e-05,1.5170578547133792e-05,3.7094836580367034e-05,1.5170578547133792e-05,3.7094836580367034e-05,8.138435783715718e-05,3.5797021305986004e-05,3.5797021305986004e-05,8.138435783715718e-05,3.5797021305986004e-05,8.138435783715718e-05,line,ln5815900-1,,1000000.0,7199.557856794634,51.833633333333346,abc
8,9,m1209817,l2801909,4.780854529330696e-05,1.9552136050659493e-05,1.9552136050659493e-05,4.780854529330696e-05,1.9552136050659493e-05,4.780854529330696e-05,0.00010488973982658619,4.61358957806675e-05,4.61358957806675e-05,0.00010488973982658619,4.61358957806675e-05,0.00010488973982658619,line,ln5742828-1,,1000000.0,7199.557856794634,51.833633333333346,abc
9,10,l2801909,m1209814,0.0001311496245127841,5.3635919807538035e-05,5.3635919807538035e-05,0.0001311496245127841,5.3635919807538035e-05,0.0001311496245127841,0.0002877362176386117,0.0001265611695790828,0.0001265611695790828,0.0002877362176386117,0.0001265611695790828,0.0002877362176386117,line,ln5742828-2,,1000000.0,7199.557856794634,51.833633333333346,abc
10,11,m1209814,m1209811,0.00020247912072534615,8.28073577966429e-05,8.28073577966429e-05,0.00020247912072534615,8.28073577966429e-05,0.00020247912072534615,0.0004442298372163761,0.000195395102574969,0.000195395102574969,0.0004442298372163761,0.000195395102574969,0.0004442298372163761,line,ln5473414-1,,1000000.0,7199.557856794634,51.833633333333346,abc
11,12,m1209811,m1209807,0.0002321193115666853,9.492922932278838e-05,9.492922932278838e-05,0.0002321193115666853,9.492922932278838e-05,0.0002321193115666853,0.0005092590466743278,0.00022399828945684553,0.00022399828945684553,0.0005092590466743278,0.00022399828945684553,0.0005092590466743278,line,ln5714974-1,,1000000.0,7199.557856794634,51.833633333333346,abc
12,13,m1209807,m1209805,8.360521980773096e-05,3.419180864419431e-05,3.419180864419431e-05,8.360521980773096e-05,3.419180864419431e-05,8.360521980773096e-05,0.00018342599006050764,8.068017305494694e-05,8.068017305494694e-05,0.00018342599006050764,8.068017305494694e-05,0.00018342599006050764,line,ln5896798-1,,1000000.0,7199.557856794634,51.833633333333346,abc
13,14,m1209805,l2823592,0.00019985036166350148,8.173228106075262e-05,8.173228106075262e-05,0.00019985036166350148,8.173228106075262e-05,0.00019985036166350148,0.00043846246127192824,0.00019285831436345382,0.00019285831436345382,0.00043846246127192824,0.00019285831436345382,0.00043846246127192824,line,ln5775442-1,,1000000.0,7199.557856794634,51.833633333333346,abc
14,15,l2823592,l2823592_cap,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,line,cap_1a,,1000000.0,7199.557856794634,51.833633333333346,abc
15,16,l2823592_cap,r20185,8.540144320708107e-05,3.4926405442026344e-05,3.4926405442026344e-05,8.540144320708107e-05,3.4926405442026344e-05,8.540144320708107e-05,0.00018736682122097038,8.2413553040529e-05,8.2413553040529e-05,0.00018736682122097038,8.2413553040529e-05,0.00018736682122097038,line,ln5513564-2,,1000000.0,7199.557856794634,51.833633333333346,abc
