id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap
1,1,0,0,0,0,0,0,SWING,1.03,1.03,1.03,2401.777119828844,1000000,0.95,1.05,0.0,0.0,abc,0.0,0.0,0.0
2,118,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
3,37,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
4,38,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,ab,False,False,False
5,39,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
6,40,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
7,41,0.0,0.0,0.02,0.01,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
8,42,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
9,43,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
10,44,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
11,45,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
12,46,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
13,47,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
14,48,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
15,49,0.035,0.025,0.035,0.025,0.035,0.025,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
16,50,0.07,0.05,0.07,0.05,0.07,0.05,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
17,51,0.035,0.025,0.07,0.05,0.035,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
18,52,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
19,53,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
20,120,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
