fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases,s_a,s_b,s_c
1,2,8.68055e-08,0.0,0.0,8.68055e-08,0.0,8.68055e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch,CLOSED,1000000,2401.7771198288438,5.768533333333334,abc,0,0,0
2,3,0.005694445,0.001944444,0.001892361,0.005746528,0.001927084,0.005642361,0.013125,0.005225694,0.004739583,0.012916666,0.006180556,0.013298612,overhead_line,oh_line_118_37,,1000000,2401.77712,5.768533333,abc,0,0,0
3,4,0.009774306,0.00328125,0.0,0.009861111,0.0,0.0,0.023038194,0.008229166,0.0,0.022760416,0.0,0.0,overhead_line,oh_line_37_38,,1000000,2401.77712,5.768533333,ab,0,0,0
4,5,0.013107639,0.0,0.0,0.0,0.0,0.0,0.013298612,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_38_39,,1000000,2401.77712,5.768533333,a,0,0,0
4,6,0.0,0.0,0.0,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,0.0,0.0,overhead_line,oh_line_38_40,,1000000,2401.77712,5.768533333,b,0,0,0
6,7,0.0,0.0,0.0,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,0.0,0.0,overhead_line,oh_line_40_41,,1000000,2401.77712,5.768533333,b,0,0,0
3,8,0.003767361,0.001284722,0.001267361,0.003836806,0.001302083,0.003802083,0.008854167,0.004131944,0.003159722,0.008611111,0.003489583,0.00875,overhead_line,oh_line_37_42,,1000000,2401.77712,5.768533333,abc,0,0,0
8,9,0.0,0.0,0.0,0.0,0.0,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,overhead_line,oh_line_42_43,,1000000,2401.77712,5.768533333,c,0,0,0
8,10,0.003767361,0.001284722,0.001267361,0.003836806,0.001302083,0.003802083,0.008854167,0.004131944,0.003159722,0.008611111,0.003489583,0.00875,overhead_line,oh_line_42_44,,1000000,2401.77712,5.768533333,abc,0,0,0
10,11,0.0,0.0,0.0,0.021857639,0.0,0.0,0.0,0.0,0.0,0.022152777,0.0,0.0,overhead_line,oh_line_44_45,,1000000,2401.77712,5.768533333,b,0,0,0
10,12,0.003003472,0.001024305,0.001006945,0.003072917,0.001041667,0.003038194,0.007083333,0.003298612,0.002534723,0.006892361,0.002777778,0.006996528,overhead_line,oh_line_44_46,,1000000,2401.77712,5.768533333,abc,0,0,0
12,13,0.008732639,0.0,0.0,0.0,0.0,0.0,0.008854167,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_46_47,,1000000,2401.77712,5.768533333,a,0,0,0
13,14,0.013107639,0.0,0.0,0.0,0.0,0.0,0.013298612,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_47_48,,1000000,2401.77712,5.768533333,a,0,0,0
12,15,0.003767361,0.001284722,0.001267361,0.003836806,0.001302083,0.003802083,0.008854167,0.004131944,0.003159722,0.008611111,0.003489583,0.00875,overhead_line,oh_line_46_49,,1000000,2401.77712,5.768533333,abc,0,0,0
15,16,0.002274305,0.00078125,0.000763889,0.002309028,0.000763889,0.002256945,0.005260417,0.002083333,0.001892361,0.005173611,0.002482639,0.0053125,overhead_line,oh_line_49_50,,1000000,2401.77712,5.768533333,abc,0,0,0
15,17,0.003802083,0.001302083,0.001267361,0.003836806,0.001284722,0.003767361,0.00875,0.003489583,0.003159722,0.008611111,0.004131944,0.008854167,overhead_line,oh_line_49_51,,1000000,2401.77712,5.768533333,abc,0,0,0
17,18,0.003802083,0.001302083,0.001267361,0.003836806,0.001284722,0.003767361,0.00875,0.003489583,0.003159722,0.008611111,0.004131944,0.008854167,overhead_line,oh_line_51_52,,1000000,2401.77712,5.768533333,abc,0,0,0
18,19,0.003802083,0.001302083,0.001267361,0.003836806,0.001284722,0.003767361,0.00875,0.003489583,0.003159722,0.008611111,0.004131944,0.008854167,overhead_line,oh_line_52_53,,1000000,2401.77712,5.768533333,abc,0,0,0
19,20,0.007586805,0.002604166,0.002517361,0.007673611,0.002569444,0.007517361,0.017517361,0.006961806,0.006319444,0.017239583,0.008246528,0.017725694,overhead_line,oh_line_53_120,,1000000,2401.77712,5.768533333,abc,0,0,0
